metrics	Metric Value
ranking loss	0.024729273805486278
one error	0.04157043879907621
coverage	2.995381062355658
average auprc	0.9280419721080048
weighted auprc	0.9263110926772545
micro f1	0.8660714285714286
micro recall	0.889280677009873
micro precision	0.8440428380187416
macro f1	0.8787545094551681
macro recall	0.8683723909487873
macro precision	0.9022454766268988
subset accuracy	0.48267898383371827
hamming loss	0.052981931802744194
ml_f_one	0.8777416835153555
ml_recall	0.9075002749367644
ml_precision	0.8686407126360937
