metrics	Metric Value
ranking loss	0.06288671874699588
one error	0.14780600461893764
coverage	3.893764434180139
average auprc	0.7666225738165511
weighted auprc	0.8157597096814387
micro f1	0.6958250497017893
micro recall	0.6170662905500706
micro precision	0.7976298997265269
macro f1	0.3384110661085104
macro recall	0.31003294249879315
macro precision	0.5116445284915667
subset accuracy	0.21478060046189376
hamming loss	0.10392609699769054
ml_f_one	0.6327598883026135
ml_recall	0.6086165182008139
ml_precision	0.7157428791377982
