metrics	Metric Value
ranking loss	0.06216250070176168
one error	0.12471131639722864
coverage	3.9676674364896076
average auprc	0.7254977744006122
weighted auprc	0.7841272009963274
micro f1	0.7521246458923513
micro recall	0.7489421720733427
micro precision	0.7553342816500711
macro f1	0.612955976916459
macro recall	0.555801176189524
macro precision	0.7811899797753024
subset accuracy	0.3187066974595843
hamming loss	0.0950957750305665
ml_f_one	0.7424223326070901
ml_recall	0.7561530847904981
ml_precision	0.7609039920818211
