metrics	Metric Value
ranking loss	0.010678793877408197
one error	0.006928406466512702
coverage	2.653579676674365
average auprc	0.9729065274375112
weighted auprc	0.9608830215603333
micro f1	0.9043600562587905
micro recall	0.9069111424541608
micro precision	0.9018232819074333
macro f1	0.9372220902758339
macro recall	0.9344508658367723
macro precision	0.9417541179321475
subset accuracy	0.5750577367205543
hamming loss	0.03695150115473441
ml_f_one	0.9159982434809225
ml_recall	0.9254151545144617
ml_precision	0.9233366325745078
