metrics	Metric Value
ranking loss	0.009929235506602711
one error	0.0023094688221709007
coverage	2.6466512702078524
average auprc	0.9753187242928277
weighted auprc	0.965662140960215
micro f1	0.9032921810699589
micro recall	0.9287729196050776
micro precision	0.8791722296395194
macro f1	0.9313844651642013
macro recall	0.9401889056755943
macro precision	0.9247956711603675
subset accuracy	0.5796766743648961
hamming loss	0.038310012226599646
ml_f_one	0.9148971633960087
ml_recall	0.9422577807104366
ml_precision	0.9066039810843507
