metrics	Metric Value
ranking loss	0.06700301238407473
one error	0.15242494226327943
coverage	4.085450346420323
average auprc	0.7117447719368011
weighted auprc	0.7869512439590016
micro f1	0.5428986912263694
micro recall	0.39492242595204513
micro precision	0.8682170542635659
macro f1	0.20657342411261398
macro recall	0.16809612729727288
macro precision	0.4176775630454627
subset accuracy	0.11085450346420324
hamming loss	0.12810759407689173
ml_f_one	0.4628890355218299
ml_recall	0.39243923897503574
ml_precision	0.6411085450346421
