metrics	Metric Value
ranking loss	0.05186982955458706
one error	0.12240184757505773
coverage	3.8383371824480372
average auprc	0.7637675985341589
weighted auprc	0.8095959319707714
micro f1	0.741248097412481
micro recall	0.68688293370945
micro precision	0.8049586776859504
macro f1	0.6047709663915869
macro recall	0.5344825786724595
macro precision	0.7937346173405436
subset accuracy	0.3002309468822171
hamming loss	0.09237875288683603
ml_f_one	0.7181308299091209
ml_recall	0.6967007588254701
ml_precision	0.774364896073903
