metrics	Metric Value
ranking loss	0.03979716395998151
one error	0.08314087759815242
coverage	3.3856812933025404
average auprc	0.856510176817167
weighted auprc	0.8769441964309063
micro f1	0.6840731070496083
micro recall	0.5543018335684062
micro precision	0.8931818181818182
macro f1	0.46920084512275756
macro recall	0.38209906654172593
macro precision	0.7831249258888744
subset accuracy	0.26558891454965355
hamming loss	0.09862790381741611
ml_f_one	0.6497778844199168
ml_recall	0.5789123501594634
ml_precision	0.8102386451116245
