metrics	Metric Value
ranking loss	0.18394733634341026
one error	0.2632794457274827
coverage	6.796766743648961
average auprc	0.3723846423292692
weighted auprc	0.6171379402445917
micro f1	0.5713147410358566
micro recall	0.5056417489421721
micro precision	0.6565934065934066
macro f1	0.289667641490449
macro recall	0.275607055824102
macro precision	0.3072968256162646
subset accuracy	0.16859122401847576
hamming loss	0.14617579133269937
ml_f_one	0.5422799422799424
ml_recall	0.5162487627845594
ml_precision	0.6466512702078522
