metrics	Metric Value
ranking loss	0.02532867440488688
one error	0.046189376443418015
coverage	3.0230946882217093
average auprc	0.9222841546341801
weighted auprc	0.918353915269183
micro f1	0.8581636298678099
micro recall	0.8469675599435825
micro precision	0.8696596669080376
macro f1	0.8689251581216262
macro recall	0.8380518695299162
macro precision	0.9137277356122193
subset accuracy	0.49191685912240185
hamming loss	0.05393288955304986
ml_f_one	0.8704712916029315
ml_recall	0.8745298581326295
ml_precision	0.8873309138898053
