metrics	Metric Value
ranking loss	0.02510632169985519
one error	0.02771362586605081
coverage	3.1108545034642034
average auprc	0.9299210091420994
weighted auprc	0.9253505820636154
micro f1	0.8524473026080743
micro recall	0.8413258110014105
micro precision	0.8638667632150615
macro f1	0.8536951889950508
macro recall	0.8207049318016958
macro precision	0.9063205005165759
subset accuracy	0.4665127020785219
hamming loss	0.056106507268034234
ml_f_one	0.8647584388923881
ml_recall	0.8702958319586495
ml_precision	0.8859122401847574
