metrics	Metric Value
ranking loss	0.023931370784719515
one error	0.03464203233256351
coverage	2.9907621247113165
average auprc	0.9232252564064176
weighted auprc	0.9206795209446589
micro f1	0.8377303939284424
micro recall	0.8173483779971791
micro precision	0.8591549295774648
macro f1	0.7776196022598978
macro recall	0.710313649712262
macro precision	0.9313407217376747
subset accuracy	0.44341801385681295
hamming loss	0.060997147126749085
ml_f_one	0.8385763582068433
ml_recall	0.8346750247443088
ml_precision	0.8716100296931706
