metrics	Metric Value
ranking loss	0.17520439529677403
one error	0.2517321016166282
coverage	6.74364896073903
average auprc	0.346234708457333
weighted auprc	0.6052066757673175
micro f1	0.6147448015122874
micro recall	0.573342736248237
micro precision	0.6625916870415648
macro f1	0.2536782358733537
macro recall	0.2666399179141158
macro precision	0.27299926241661665
subset accuracy	0.14318706697459585
hamming loss	0.13843227822306753
ml_f_one	0.5831258810473591
ml_recall	0.5637303420213351
ml_precision	0.649769053117783
