metrics	Metric Value
ranking loss	0.024752778014902728
one error	0.053117782909930716
coverage	2.9907621247113165
average auprc	0.9270542595757203
weighted auprc	0.9159933285394277
micro f1	0.8242740134028295
micro recall	0.7806770098730607
micro precision	0.8730283911671924
macro f1	0.7639425802534405
macro recall	0.6998509878948055
macro precision	0.9376108727898282
subset accuracy	0.3995381062355658
hamming loss	0.06412172259203913
ml_f_one	0.8257259804603915
ml_recall	0.8062465632904432
ml_precision	0.8833828219509513
