metrics	Metric Value
ranking loss	0.06405867996514647
one error	0.13625866050808313
coverage	4.066974595842956
average auprc	0.736528424092756
weighted auprc	0.8014417537462869
micro f1	0.7578070784177654
micro recall	0.770098730606488
micro precision	0.7459016393442623
macro f1	0.6197954006479445
macro recall	0.5763731461493451
macro precision	0.8254766228847457
subset accuracy	0.302540415704388
hamming loss	0.09482407281619346
ml_f_one	0.7410897160319793
ml_recall	0.7664687121961948
ml_precision	0.7440723633564279
