metrics	Metric Value
ranking loss	0.04841513375000673
one error	0.10392609699769054
coverage	3.699769053117783
average auprc	0.8557344534902179
weighted auprc	0.8401293360586998
micro f1	0.8016614745586709
micro recall	0.8166431593794076
micro precision	0.7872195785180149
macro f1	0.8054003856506351
macro recall	0.7837367054708214
macro precision	0.8547717241644266
subset accuracy	0.3625866050808314
hamming loss	0.077842684417878
ml_f_one	0.8043175197909609
ml_recall	0.834427581656219
ml_precision	0.8036071703508193
