metrics	Metric Value
ranking loss	0.03787854754944824
one error	0.09006928406466513
coverage	3.3140877598152425
average auprc	0.8682525068136293
weighted auprc	0.8800102862457275
micro f1	0.7620889748549323
micro recall	0.6946403385049366
micro precision	0.844044558697515
macro f1	0.5863770278215751
macro recall	0.5099496849354296
macro precision	0.8189350444289685
subset accuracy	0.2956120092378753
hamming loss	0.083548430919712
ml_f_one	0.7318599286266723
ml_recall	0.7059606290553173
ml_precision	0.8110854503464203
