metrics	Metric Value
ranking loss	0.18055137702943708
one error	0.2840646651270208
coverage	6.764434180138569
average auprc	0.35019172173962576
weighted auprc	0.6135106675220384
micro f1	0.6292372881355932
micro recall	0.6283497884344147
micro precision	0.6301272984441302
macro f1	0.2698890895539633
macro recall	0.2986693804160987
macro precision	0.2856554830720541
subset accuracy	0.15473441108545036
hamming loss	0.14264366254584976
ml_f_one	0.6017066074802795
ml_recall	0.6116298251402178
ml_precision	0.6212856043110084
