metrics	Metric Value
ranking loss	0.17067808057992814
one error	0.19630484988452657
coverage	6.392609699769053
average auprc	0.39156039228128936
weighted auprc	0.6663516838384707
micro f1	0.6702432045779685
micro recall	0.6607898448519041
micro precision	0.6799709724238027
macro f1	0.29839589166760033
macro recall	0.3165873005104287
macro precision	0.2987002895315914
subset accuracy	0.21939953810623555
hamming loss	0.12525472082597472
ml_f_one	0.6348433193698783
ml_recall	0.6393874408885957
ml_precision	0.663972286374134
