metrics	Metric Value
ranking loss	0.024605763751260286
one error	0.03464203233256351
coverage	2.9976905311778292
average auprc	0.926569955448821
weighted auprc	0.9198923083553685
micro f1	0.8624787775891342
micro recall	0.8956276445698167
micro precision	0.8316961362148002
macro f1	0.880330923186536
macro recall	0.8898005136267412
macro precision	0.879662102138167
subset accuracy	0.47344110854503463
hamming loss	0.055019698410542044
ml_f_one	0.8743938125000482
ml_recall	0.9110414604640934
ml_precision	0.8615033542285274
